,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
363.78,6.67583E-09,2.78312E-10,9.79704E-09,3.97589E-10,3.31324E-10
364.36,5.8519E-09,8.30793E-10,1.7916E-08,5.93424E-10,4.2199E-10
364.93,3.46388E-09,-2.55996E-10,8.13092E-09,1.2209E-09,5.51375E-10
365.51,6.42258E-09,5.4857E-10,9.13337E-09,5.4857E-10,1.43673E-10
366.08,6.21844E-09,6.02742E-10,8.54619E-09,7.38845E-10,4.1479E-10
366.66,6.94303E-09,7.52575E-10,1.0281E-08,3.47342E-10,1.80103E-10
367.23,7.89921E-09,5.94684E-10,8.94296E-09,6.52234E-10,1.66256E-10
367.81,6.25778E-09,8.97186E-10,8.64474E-09,4.96315E-10,2.92699E-10
368.38,6.00047E-09,3.98984E-10,9.36325E-09,6.26975E-10,5.44645E-10
368.96,6.2108E-09,-8.14668E-10,1.18604E-08,3.97861E-10,2.5261E-10
369.53,7.86014E-09,5.10433E-10,8.81316E-09,5.67148E-10,2.52066E-10
